ID,Start time,Completion time,Email,Name,Last modified time,"Provide adequate teaching resources for classes with large enrollments, challenging time schedules or difficult schedules",Upgrade technology and training so that hybrid teaching is possible and of high quality,Provide faculty with mentoring opportunities in competency-based training on undergraduate and graduate-level teaching,Create three-year teaching schedules,Replace student evaluations of teaching with more evidence based methods for ensuring quality teaching,Allow course release for national level service participation (e.g. Chair of a professional society),Provide incentives and training for mentoring PhD students,Create transparent and realistic faculty workload models that distribute workloads equitably across faculty in the department,Any other action not mentioned (type in your answer):,Actions in Teaching,What is your top priority item?,What is your second priority item?,What is your third priority item?,Column8,Column2,Change faculty dispute resolution practices to be more humane and problem solving,"Require leadership training and develop competencies of Chancellors, Deans, Chairs, and administrators related to problem solving, conflict resolution, and academic freedom",Establish salary structures that insure that salaries of faculty are higher than staff and postdoctoral fellows,Decrease the pay gap between tenure track and teaching track faculty,Ensure transparent merit procedures and allocation of available funds,Ensure salary raises for those who have had outstanding performance each year,Deal with salary compression of senior faculty who have served the UW for a long time,Request the UW administration of Seattle-Bothell-Tacoma to come up with a shared vision for the future of the University of Washington's three campuses,"Create an officer or office for faculty wellbeing in Academic Personnel, so there is a person or group responsible for these actions",Any other action not mentioned (type in your answer):2,Action Items Government,What is your top priority item?2,What is your second priority item?2,What is your third priority item?2,What is your third priority item?23,What is your third priority item?22,Create climate for acceptable academic discourse,Provide leadership skills for faculty at all ranks,Provide easy access to mental health services for faculty,Create safety programs for faculty working in all UW environments (labs and classrooms),Co-locate faculty in departments who do similar work (teaching and research topics),"Upgrade office spaces and departments that are clean, colorful, and welcoming",Consider implementing family tuition reimbursement program so our children can get a free or reduced cost of UW education,Create an academic landscape one can understand - this could be done with an organizational chart for each school/department,Any other action not mentioned (type in your answer):3,Action Items Worklife,What is your top priority item?3,What is your second priority item?3,What is your third priority item?3,Column3,Column4,"Foster a supportive research environment around grant writing, publication, and statistical assistance that is free to faculty",Provide access to indirect cost recovery funds to the PI,Assist with creating more research platforms with industry,Co-create funding methods with research faculty,Create research/scientist research series for elevating research methods for all,Update lab equipment for research and teaching,"Create a database of available research staff, so that talent developed at UW can be kept and shared across departmental units and colleges",Any other action not mentioned (type in your answer):4,Actions in Research ,What is your top priority item?4,What is your second priority item?4,What is your third priority item?4,"Below, please write in any other action(s) you would like to see the UW take to address the issues mentioned above:",Column9,What is your main campus location?,Column5,What is your school or college?,Column10,Column6,What is your academic rank?,Column7,What is your sex/gender?,"If you are willing to participate in a qualitative interview related to this survey, please place your UW NetID in the box below. In doing so, your survey responses will no longer be anonymous."
12,4/15/24 15:43:08,4/15/24 15:47:24,anonymous,,,4,3,3,4,3,4,4,2,pay commensurate with cost of living in Seattle,Pay,Realistic faculty workloads,Upgrade technology,,,,3,3,2,3,2,2,2,4,3,,Student Support,Salary raises,Salary compression,Transparent merit process,,,3,2,3,3,3,3,3,3,,Campus Safety,,,,,,2,3,3,3,3,4,4,,,,,,,,Seattle,,UWS - School of Medicine,,,Associate Professor,,Female,
355,4/16/24 6:11:59,4/16/24 6:48:22,anonymous,,,1 - Highest ,5 - Lowest,5 - Lowest,5 - Lowest,2,2,1 - Highest ,2,"When I reply ""teaching resources"" as the highest priority this is what I refer to: The DRS situation is out of control since the pandemic.  I have about 3 dozen students with accommodations this quarter.  More than half of my course management time is spent dealing with DRS.  We should take all the money and personnel budgeted for DEI and put it toward DRS.  I have no doubt DRS is under-staffed and under-resourced. Besides making their lives and jobs difficult, profs and TAs are left to pick up the slack.  I am moving toward capping enrollment in my courses simply because increasing enrollment, while it doesn't affect my teaching material or style, linearly increases the amount of course management time because of DRS (and the fewer students I teach the less money my unit raises per ABB). DEI budgets (including the 20 odd DEI-focused Public Lectures) could go to support this, or reducing administrative bloat elsewhere.  Or, you know, raise tuition to the market rate. ",DRS,Teaching resources,Training for mentoring graduate students,Replace student evaluations,,,4,1 - Highest,1 - Highest,5 - Lowest,3,1 - Highest,1 - Highest,3,3,"All manner of aspects of faculty salary must be addressed -- the state needs to give us more money, plain and simple. WHO IS RESPONSIBLE FOR LIAISING BETWEEN UW AND THE LEGISLATURE AND WHY ARE THEY SO BAD AT THEIR JOBS?! THIS PERSON SHOULD BE FIRED IMMEDIATELY.  I won't name names, but everyone knows who I'm talking about -- the fact that their office has high staff turnover should be an indication, but President Cauce's legacy could be to fire this person and start anew.  We get nothing from the legislature because we ask for nothing. They must raise tuition to a market rate (why should middle and lower income students subsidize rich students)? RAISE TUITION, and for needy students raise financial aid.  But it's a scandal how little our students pay in tuitition and it's a bigger scandal that we don't get more funds from the legislature.  UW is an economic powerhouse for this state.  We need a deft negotiator, not the washed-up deadwood cozy admin folks who have been at this for years with nothing but disaster to show for it.  

To wit: we all got a 4% *MERIT* increase last year.  After months of debate and ""shared governance"" and all that time spent filling out performance reviews and committees meeting and faculty voting, etc.  FOR A MEASLY 4%!!!  How is 4% a *MERIT* increase for anyone?  4% did not only NOT cover the rise in inflation, it didn't even cover the cost of living increase in Seattle.  So all of us are making LESS money this year than we did last year (significantly so) AND THATS AFTER A MERIT INCREASE.

The finances of this university are run like Argentina.  And like Argentina, the smart and talented folks leave, at first slowly, and then all at once.",UW Funding,Salary raises,Salary compression,Salary structure,,,1 - Highest,3,3,3,3,2,2,2,"Something has to be done to address the homeless people that camp out on campus, do drugs on campus, skateboard in Central Parking, and keep leaving graffiti and human refuse everywhere.  This is a university, not a city park.

Obviously principles of academic freedom, open inquiry, and free speech are major issues at UW -- our students are censorious scolds, and other faculty treat folks like they run some Maoist re-education camp.  Everyone's speech is chilled, and our students are simply replicating what they see in the world and from UW profs and admin, so it's a hard problem to overcome. I now have to spend part of my first lecture for each class each quarter discussing principles of academic freedom, and when I've done so, I've had zero problems of student behavior in class (while some still scold in my evaluations, a lot mention that I am the only prof whose class they felt free to speak their minds).",Campus Safety,Climate for discourse,Upgrade office spaces,Create organizational charts,,,1 - Highest,2,1 - Highest,1 - Highest,2,4,4,"Arts & Sciences does nearly all of the undergraduate teaching at UW (Seattle) and essentially gives our students something close to a liberal arts education.  Yet A&S gets little to none of the research support -- that goes to UW Med, Allen School, Evans, Public Health, and the i-School.  THERE NEEDS TO BE A SERIOUS INVESTMENT IN RESEARCH AMONG ARTS AND SCIENCES FACULTY. And not just what is listed in the options you gave.  Incentivizing research by offering course releases for research productive faculty is one idea (course releases are now nearly impossible to get for reasons I don't understand).  OR, here's another idea: course releases for faculty who teach very large lectures for their other courses. OR, here's another idea: help with grant writing and budgeting at the departmental level (in departments that are under-staffed).  AND LET A&S FACULTY MEET WITH DONORS AND INDUSTRY FOLKS -- the Advancement and outreach people keep these a secret and then put the same folks in front of them, like the i-School.  A&S are punching way above their weight given how much we teach, how well we teach, and what little support we get from the UW.  Think of what we could do with more.  And our new dean may want to focus on research and teaching and public outreach for A&S faculty over whatever the ""futurist"" project is supposed to be.  We don't need to reimagine what a university should be -- we just need to administer the university we already have in better ways.",Arts,More research platforms,Free grant support resources,Co-create funding methods,"Get rid of all the DEI bureaucracy and programming.  We are a world class public university that is a flagship not only in our state and region, but the world.  We are meant to ""Be Boundless"" -- but we don't act like it.  We are already, by virtue of our mission and who we teach and what we research, one of the most progressive forces in society. We *over-represent* (not under represent) our rich and diverse society in the diversity of our faculty, staff, and student body.  The more time that admin, faculty, staff and students spend worrying about DEI, the less time we ARE ACTUALLY ACHIEVING OUR MISSION, WHICH ALREADY CONVERTS TO IMPROVING DIVERSITY, EQUITY, AND INCLUSION.  Less time, money, and resources for research and teaching.  UW has already fulfilled its mandate to recruit and train diverse students. What UW needs now is to cure cancer, to win Nobels, to win Guggenheims and NSFs, to train the next conductor of the New York Philharmonic or the next Secretary of State or whatever, etc. etc.

Also, BRING BACK THE SAT!!!!  MANY OF OUR STUDENTS ARE NOT PREPARED FOR COLLEGE-LEVEL WORK.  THAT CREATES A LOT MORE WORK FOR ADMIN, FACULTY, TA, AND STAFF.  ITS AN EASY FIX THAT IS NOT ONLY PEDAGOGICALLY SOUND AND WHAT IS BEST FOR OUR STUDENTS, BUT WILL MAKE EVERYONE'S LIFE MUCH EASIER SO WE CAN FOCUS AND ACTUALLY BECOME BOUNDLESS!",,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Male,I would but I don't trust that I wouldn't be professionally harmed by the answers I've given.
282,4/15/24 18:42:31,4/15/24 18:51:44,anonymous,,,2,4,2,3,5 - Lowest,3,3,2,Provide sufficient administrative report to reduce financial reporting workloads for grants and contracts,Administrative Support,Realistic faculty workloads,Mentoring for teaching,Teaching resources,,,3,3,4,1 - Highest,1 - Highest,2,3,4,4,,,Decrease pay gap,Transparent merit process,Salary raises,,,4,3,2,4,4,3,3,3,Increase campus safety to ensure that faculty feel safe working on campus at all hours,Campus Safety,Increased campus safety,Access to mental health,Upgrade office spaces,,,3,1 - Highest,3,2,3,3,2,,,Access to indirect costs,Co-create funding methods,Database of research staff,,,Seattle,,UWS - College of Engineering,,,Professor,,Male,bpolagye@uw.edu
428,4/16/24 11:42:18,4/16/24 11:47:39,anonymous,,,2,3,2,4,5 - Lowest,2,2,3,N/A,,Replace student evaluations,Three-year teaching schedule,Realistic faculty workloads,,,2,1 - Highest,2,4,4,5 - Lowest,3,5 - Lowest,1 - Highest,,,Shared vision of leadership,Salary raises,Transparent merit process,,,2,2,2,5 - Lowest,2,5 - Lowest,2,3,"UWT has enormous safety issues being located in downtown Tacoma; one ""Kia Boys"" incident involved young teens waving around handguns in a stolen car right next to campus. ",Campus Safety,Safety programs,Upgrade office spaces,Campus safety.,,,2,3,2,2,2,2,2,,,,,,,,Tacoma,,UWT - Milgard School of Business,,,Assistant Professor,,Male,
216,4/15/24 16:04:18,4/15/24 17:05:55,anonymous,,,2,4,4,3,3,5 - Lowest,1 - Highest ,1 - Highest ,Address ongoing post-covid low student attendance patterns at a university-wide level (help us out by setting some standards and expectations. right now everyone is handling it differently and it's a mess!),In-Person Classes,Realistic faculty workloads,Other,Teaching resources,,,3,3,4,4,1 - Highest,3,3,1 - Highest,1 - Highest,"Regular monitoring of metrics to gauge faculty wellbeing, stress, and exhaustion would be a bit of a balm!",Monitor Wellbeing and Stress,Create officer for faculty wellbeing,Transparent merit process,Shared vision of leadership,,,2,3,1 - Highest,3,3,2,5 - Lowest,1 - Highest,"More help with and from centralized resources. UW feels very decentralized, and across teaching, research, and everything else it feels like faculty need to keep track of about 500 different offices and policies at all different organizational levels. I spend a ridiculous amount of time searching across school, campus, and university resources for teaching and grading policies, student services, EH&S safety plans, facilities rules, etc. etc. etc., and often wondering why if the buck always stops with faculty, there isn't more support to help us effectively operate in this complex administrative environment.

Also, more than upgrading office spaces, upgrade the campus environment and academic vibe. Don't be afraid to feel like a university! We (Seattle campus) have a bell tower and carillon both of which are almost never used. Most of the older and atmospheric cafes on campus have been closed in favor of generic high throughput options. Many people don't feel safe working into the evenings in their offices or labs. It's feeling more and more like a beleaguered urban extension than a vibrant academic setting.",Centralize Resources,Access to mental health,Climate for discourse,Create organizational charts,,,1 - Highest,2,4,3,3,4,3,"General statistical consulting. It's much more limited than at other institutions I've been at. Access via graduate students taking a course is not helpful.

Improved availability to central software licenses and services. The fact that we don't have institutional access to the (robust versions of) the major reference management software makes research group cohesion and student research mentorship more challenging. I am also constantly surprised we don't have access to good project management etc. software.",Statistical Consulting,Free grant support resources,General statistical consulting,Access to indirect costs,"Create more opportunities for faculty to interact and network across schools and colleges: in-person trainings, other ways to engage and serve that aren't overly burdensome but do bring people together.",,Seattle,,UWS - School of Public Health,,,Assistant Professor,,Female,
253,4/15/24 17:23:35,4/15/24 17:49:50,anonymous,,,3,3,3,4,2,5 - Lowest,2,1 - Highest ,"Due to the pandemic, the number of students with disability accommodations has ballooned. Some faculty are interested in addressing the growing problem of meeting accommodations by applying creative grading structures (e.g. ""specifications based grading"" or other ideas) that could be applied to all students, whether those students have had the bravery to seek accommodations or not. However, my understanding is that the DRS office requires that students with accommodations be rigidly offered some multiple (e.g. 1.5x or 2x) of what other students are offered, even if the time allowed for an activity is already estimated to be a multiple of the length of time that any student would take. Are there ways that the DRS office can be more creative in helping faculty respond to the ever-increasing number of accommodations?",DRS,Realistic faculty workloads,Replace student evaluations,Mentoring for teaching,,,2,4,1 - Highest,4,3,5 - Lowest,1 - Highest,5 - Lowest,5 - Lowest,"I have heard that the Office of the Ombud defines harassment as being from a person of power against a person with less power. However, there are known cases at UW and other institutions of ""contra-power harassment"". For example, students can harass professors. It is difficult to resolve these situations if the Ombud has a rigid definition.",Student Harrassment,Salary compression,,,,,3,1 - Highest,1 - Highest,4,5 - Lowest,4,3,5 - Lowest,,Childcare,Access to mental health,,,,,1 - Highest,4,4,5 - Lowest,4,4,1 - Highest,"It is difficult to figure out what instrumentation is housed in which user facility at UW, and how much it costs to people inside or outside that unit. Making this easier would lead to greater usage of our existing resources.",Core Resources,Database of research staff,,,,,Seattle,,UWS - College of Arts & Sciences,,,Professor,,Female,
310,4/15/24 20:33:45,4/15/24 20:52:08,anonymous,,,4,1 - Highest ,1 - Highest ,4,2,5 - Lowest,4,5 - Lowest,I don't need training for mentoring grad students; I need a way for it to be recognized as a big part of my workload ,Incentives for Mentoring,Realistic faculty workloads,Course release,Training for mentoring graduate students,,,3,3,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,5 - Lowest,3,4,"DECREASE THE PAY GAP BETWEEN THE ARTS/HUMANITIES AND THE PROFESSIONAL SCHOOLS

IT IS DEMORALIZING

IT IS UNCONSCIONABLE

WE FEEL FEEL FUNDAMENTALLY DISRESPECTED EVERY DAY AND WANT TO LEAVE ",Pay,"Decrease pay gaps between units, particularly arts/humanities vs other fields",Decrease pay gap,Salary compression,,,3,1 - Highest,5 - Lowest,3,5 - Lowest,5 - Lowest,5 - Lowest,2,"1. CHILDCARE: It is difficult to get into UW Childcare centers. I am lucky enough to have gotten into one of them. My daughter goes to the Portage Bay location. The tuition is HALF OF MY TAKE-HOME PAY. The annual tuition is about 28k a year for preschool--roughly twice in-state tuition. Every year they raise preschool tuition to the extent that my ""merit"" raise is completely absorbed, and then some, by the adjustment. I also must countenance the fact that other parents there are for the most part highly paid physicians at UW medicine. Many of them have Amazon or Microsoft husbands. They all like to go on about how cheap it is and how the place is such an extraordinary deal. It rankles. I could deal with the waitlist, but what about a sliding scale tuition based on TOTAL FAMILY INCOME????

2. ""Upgrade office spaces"": Padelford hall did not have heat for two years. It has water leaking through the walls. It is infested with silverfish. Elevators rarely work. Other CAS and humanities/social science spaces such as Raitt hall have absolutely no ADA access (ie, all elevators broken for years at a time). The ""office spaces"" problem is a problem with certain units in this university being FORGOTTEN, DISRESPECTED, AND FUNDAMENTALLY NOT VALUED. ",Childcare,UW CHILDCARE,Family tuition rates,Upgrade office spaces,,,3,3,3,3,3,3,1 - Highest,"HUMANITIES RESEARCH FUNDING: Recognize the gap between available external funds for humanities faculty versus sciences. There is more federal funding available for undergraduate STEM research than there is for all humanities research (doctoral, postdoctoral, faculty) combined. The Simpson Center fellowships are not enough. https://www.insidehighered.com/opinion/views/2023/08/15/does-humanities-research-matter-anymore-opinion ",Arts,Humanities research funding (recognize that it is a thing. We do research too),Access to indirect costs,Free grant support resources,"Most junior faculty I know in the arts, humanities, and interpretive social sciences will never own homes, be able to pay for their childrens' college, or even get out of credit card debt. ",,Seattle,,UWS - College of Arts & Sciences,,,Assistant Professor,,Female,malahern
666,4/24/24 12:11:56,4/24/24 12:38:49,anonymous,,,3,2,4,4,4,2,2,3,,Student Evaluations,Teaching resources,Upgrade technology,Mentoring for teaching,,,2,2,2,3,2,1 - Highest,5 - Lowest,5 - Lowest,5 - Lowest,Salary compression is far over-stated. We need to realize that new faculty are faced with untenable housing market. Older faculty bought houses when they were affordable. We need to strengthen salaries of young faculty - even if it generates compression. (I'm a full prof...).,Pay Gap,Salary structure,Salary raises,Change dispute resolution,,,3,3,3,4,4,4,2,4,"Need to improve childcare options for female faculty. Right now the rates are brutally expensive and availability is low. IF WE ARE TRULY DEDICATED TO ACHIEVING GENDER EQUITY IN OUR FACULTY, THEN WE HAVE TO STEP UP AND SUPPORT WOMEN WHO WANT FAMILIES TOO.  (I'm a male and would be happy to pay a child support fee to help subsidize childcare for female faculty).",Childcare,Family tuition rates,,,,,1 - Highest,2,2,2,3,3,4,We have too many rules and regs. We also have way too many administrative staff with unknown tasks. We need high-level staff to help develop and submit complicated grant proposals that are now the norm at NSF and other federal agencies.,Grants,Free grant support resources,Access to indirect costs,More research platforms,"Too much administration to deal with! There has been an exponential increase in rules and regs, and associated trainings etc that distract from all of the things we are supposed to do. It is disconcerting to see how much funding support activities that have no bearing on what we are trying to do as an institution. ",,Seattle,,UWS - College of the Environment,,,Professor,,Male,deschind
392,4/16/24 9:34:54,4/16/24 9:40:50,anonymous,,,3,3,2,5 - Lowest,4,3,2,1 - Highest ,,,Realistic faculty workloads,Mentoring for teaching,Training for mentoring graduate students,,,1 - Highest,1 - Highest,1 - Highest,2,1 - Highest,1 - Highest,3,3,3,"I think that many of the actions in question 6 are very urgent, but it seems nuts that an additional office/officer needs to be created to be created to make this happen. It seems that this would be the responsibility of existing administrators including the CAS dean, divisional deans, and DEIJ dean. ",Reduce Admin Bloat,Salary structure,Transparent merit process,Leadership training ,,,,,,,,,,,,Childcare,,,,,,3,3,3,3,4,4,4,,Part Time Options,,,,,,Seattle,,UWS - College of Arts & Sciences,,,Associate Professor,,Female,vadair
150,4/15/24 16:05:39,4/15/24 16:21:47,anonymous,,,1 - Highest ,4,4,5 - Lowest,2,1 - Highest ,1 - Highest ,1 - Highest ,"Hire more faculty in each department so that the teaching loads can be lightened. 
Offer teaching credit for advising graduate students - for example, for every 4 grad students you advise you get one quarter of teaching credit. Otherwise, why would be do it at all? I could fill my lab with staff and postdocs that would do very high quality work.
Offer teaching credit for undergraduate thesis students. Otherwise, why should we do it?
",Workload,Course release,Realistic faculty workloads,Mentoring for teaching,,,3,3,1 - Highest,4,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,"I believe our reputation will decline due to loss of faculty and lack of administrative resources for faculty. My department is shrinking severely and and admin resources are also shrinking.
The UW does not provide adequate staff support for faculty with large research programs. I cannot even get my unit to provide a bank account number for my grants to be transferred to in a timely manor. Let alone get help with large project administration like help with scheduling and travel arrangement, organizing workshops, etc. We need more on-the-ground secretarial and admin help to do our faculty jobs - not deans - we need grants administrators and lab technicians.",Staff Support,Salary compression,Shared vision of leadership,Salary raises,,,1 - Highest,3,3,4,3,2,3,,"guaranteed childcare
Retirement benefit of health insurance for faculty - like staff have. This way burned out faculty can retire and move on more easily. 
",Childcare,Climate for discourse,,,,,1 - Highest,1 - Highest,3,5 - Lowest,5 - Lowest,1 - Highest,3,"Provide financial support for staff, particularly in labs that serve many collaborations.
Provide more financial support for graduate student stipends.",Pay,Access to indirect costs,Free grant support resources,Update lab equipment,UW support for grad student and lab technician pay,,Seattle,,UWS - College of the Environment,,,Professor,,Female,aingalls@uw.edu
415,4/16/24 10:50:27,4/16/24 11:00:14,anonymous,,,3,2,2,3,1 - Highest ,2,1 - Highest ,1 - Highest ,"Ensuring that faculty decisions about evaluation of student performance that our based on competency assessment, effective pedagogy for discipline, and evidence based are backed and supported by department and university leadership. ",Pedagogy Skills,Replace student evaluations,Realistic faculty workloads,Training for mentoring graduate students,,,3,2,1 - Highest,1 - Highest,2,2,2,2,1 - Highest,,,Salary structure,Decrease pay gap,Create officer for faculty wellbeing,,,2,1 - Highest,2,2,3,3,1 - Highest,2,More access to UW sponsored affordable high quality child care services as a faculty member (top issue),Childcare,Child care,Family tuition rates,Leadership training,,,1 - Highest,1 - Highest,3,2,3,3,3,,,Free grant support resources,Access to indirect costs,Co-create funding methods,Much more affordable housing for faculty - similar to what UC System does for example,,Seattle,,UWS - School of Medicine,,,Associate Teaching Professor,,Male,
257,4/15/24 17:19:48,4/15/24 17:58:42,anonymous,,,2,1 - Highest ,3,4,4,5 - Lowest,2,1 - Highest ,"Survey the faculty broadly, and take their input, on any proposed changes to technology changes (including removing non-tech options). Do not force people into a single teaching model. It takes considerable time to learn how to use teaching technology, and may not, in fact, be in the students' or faculty best interests for a particular course. For me, one of the most challenging issues was removal of overhead projectors, requiring major revision of my classroom materials, and my classroom teaching methods. In my opinion, the result was not an improvement over the less tech-oriented, more participatory approach that I prefer.",Update Tech,Teaching resources,Upgrade technology,Replace student evaluations,,,2,3,1 - Highest,3,2,2,2,4,3,,,Leadership training ,Salary structure,Transparent merit process,,,1 - Highest,2,3,4,4,5 - Lowest,3,5 - Lowest,"There isn't much here on the ""life"" part of the two topics. In terms of the ""life"" topics, you have brought up the reduced tuition issue, but what about subsidizing both pre-K and K-6 childcare? That would be helpful to faculty who have young children, which is a stressful time. ",Childcare,Leadership training,Climate for discourse,Access to mental health,,,1 - Highest,1 - Highest,3,3,5 - Lowest,4,1 - Highest,,,Database of research staff,Free grant support resources,Access to indirect costs,,,Seattle,,UWS - School of Medicine,,,Professor,,Female,
460,4/16/24 14:11:54,4/16/24 14:31:18,anonymous,,,4,4,4,4,2,2,3,3,,,,,,,,4,4,1 - Highest,1 - Highest,1 - Highest,3,1 - Highest,4,2,,,Salary raises,Decrease pay gap,Salary compression,,,3,4,4,4,4,4,1 - Highest,3,"Provide a more robust system of childcare centers that are available to UW medicine faculty and their children.  Provide sick leave to UW medicine faculty that covers typical illnesses (colds, gastrointestinal issues) and is not just reserved for serious medical issues. Provide parental leave on par with peer organizations in the Seattle area (4 months paid leave that is separate from the 90 days of sick leave) for all types of new parents - fathers, mothers, adoptive parents, etc.  Provide bereavement leave for UW medicine faculty. ",Childcare,Family tuition rates,,,,,2,,,,,,,,,,,,,,Seattle,,UWS - School of Medicine,,,Assistant Professor of Clinical Practice,,Female,jmeikle
635,4/24/24 12:14:07,4/24/24 12:23:40,anonymous,,,3,3,4,5 - Lowest,4,1 - Highest ,1 - Highest ,1 - Highest ,,,,,,,,2,3,2,,2,1 - Highest,3,4,5 - Lowest,,,,,,,,5 - Lowest,3,4,5 - Lowest,5 - Lowest,2,1 - Highest,5 - Lowest,Expand child care resources,Childcare,Child care ,increase pay,Family tuition rates,,,4,1 - Highest,2,3,5 - Lowest,5 - Lowest,4,,,,,,"child care resources should be expanded, work with advancement to provide increases in salary support, house loan assistance, make admin lean and use the savings there to improve faculty well being, please stop the surveys and resilience seminars",,Seattle,,UWS - School of Medicine,,,Associate Professor,,Prefer not to share,
123,4/15/24 15:53:58,4/15/24 16:12:22,anonymous,,,3,2,1 - Highest ,4,2,4,2,1 - Highest ,"Provide clear resources for faculty when dealing with under performers (e.g. remediation resources for faculty, students); I don't see anything about diversity resources, bias reporting resources or other resources for marginalized groups. ",Increase DEI,Mentoring for teaching,Teaching resources,Training for mentoring graduate students,,,2,2,1 - Highest,1 - Highest,1 - Highest,1 - Highest,3,3,2,Improve salary altogether to make hiring more competitive. Do not base medical salary caps on professor salaries from unrelated departments. ,Pay,Salary raises,Leadership training ,Transparent merit process,,,3,2,3,3,4,2,5 - Lowest,3,"Clarify structure (including who to ask, how to ask, and resources for creating a proposal) for requesting FTE for a specific group or department. ",Clarity,Access to mental health,Resources and clarification of process for FTE requests,Upgrade office spaces,,,2,3,3,2,3,4,3,,,Free grant support resources,More research platforms,Co-create funding methods,"UW is not competitive with salaries, FTE or benefits and it makes it hard to hire - this limits our ability to recruit reasonable candidates, provide services, recruit diversity, etc. It is almost impossible to even figure out how to ask if you want to hire someone, especially if you are in a shared space. There are very few mentoring resources, and if you want to change anything, you get a lot of hopes and prayers without actionable advice. ",,Tacoma,,UWS - School of Medicine,,,Assistant Professor of Clinical Practice,,Female,bronish
712,4/24/24 13:05:48,4/24/24 13:16:13,anonymous,,,2,4,3,1 - Highest ,2,2,4,1 - Highest ,,,Realistic faculty workloads,Course release,Three-year teaching schedule,,,2,2,3,3,2,2,2,1 - Highest,3,Create enforceable policies and actually enforce them.  ,Enforce Policies,Salary raises,Salary compression,Salary structure,,,3,2,2,2,3,3,2,2,,Clinical,Family tuition rates,Access to mental health,Leadership training,,,3,3,3,3,3,3,3,"Wow - that list is an amazingly one-sided view of what research is and how it could be supported.  So I'd suggest teaching policy makers about the broad range of research work being done here and creating policies that assume it all has merit and is worth being funded, rather than just emphasizing grants and PIs.  ",Arts,"See above - there are a whole range of types of research that those questions don't really seem to realize exist, let alone might merit support",,,"Honestly, we need to address and rectify the range of inequities in the tri-campus structure so that pay is equitable across fields across campuses, so that leadership roles have the same functions and duties and recognition across the three campuses, and so that resources are geared towards supporting all three equally.  

Beyond that, we need actual pay raises that keep up with the cost of living and inflation.  

Every time I take one of these surveys, I am reminded of how little understanding there is of the realities of Tacoma and Bothell, and it gets exhausting.  ",,Tacoma,,UWT - School of Interdisciplinary Arts & Sciences,,,Associate Professor,,Prefer not to share,
